Node,Time,ENS
node_1,1,0.0
node_2,1,0.0
node_3,1,0.0
node_1,2,0.0
node_2,2,0.0
node_3,2,0.0
node_1,3,0.0
node_2,3,0.0
node_3,3,0.0
node_1,4,0.0
node_2,4,0.0
node_3,4,0.0
node_1,5,0.0
node_2,5,0.0
node_3,5,0.0
node_1,6,0.0
node_2,6,0.0
node_3,6,0.0
node_1,7,0.0
node_2,7,0.0
node_3,7,0.0
node_1,8,0.0
node_2,8,0.0
node_3,8,0.0
node_1,9,0.0
node_2,9,0.0
node_3,9,0.0
node_1,10,0.0
node_2,10,0.0
node_3,10,0.0
node_1,11,0.0
node_2,11,0.0
node_3,11,0.0
node_1,12,0.0
node_2,12,0.0
node_3,12,0.0
node_1,13,0.0
node_2,13,0.0
node_3,13,0.0
node_1,14,0.0
node_2,14,0.0
node_3,14,0.0
node_1,15,0.0
node_2,15,0.0
node_3,15,0.0
node_1,16,0.0
node_2,16,0.0
node_3,16,0.0
node_1,17,0.0
node_2,17,0.0
node_3,17,0.0
node_1,18,0.0
node_2,18,0.0
node_3,18,0.0
node_1,19,0.0
node_2,19,0.0
node_3,19,0.0
node_1,20,0.0
node_2,20,0.0
node_3,20,0.0
node_1,21,0.0
node_2,21,0.0
node_3,21,0.0
node_1,22,0.0
node_2,22,0.0
node_3,22,0.0
node_1,23,0.0
node_2,23,0.0
node_3,23,0.0
node_1,24,0.0
node_2,24,0.0
node_3,24,0.0
