iteration,CO2_price,status,status_primal,status_dual,objective
1,0.06771346639480116,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,412744.2853639497
2,0.02683743105555393,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,384114.7448868538
3,0.018819812720695966,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,366571.72176377993
4,0.0891167446608227,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,412838.54161591246
5,0.12461228432625915,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,375564.7905836388
6,0.14904899060620744,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,366373.0595072179
7,0.103997841475253,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,471190.2966291035
8,0.1774562276521396,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,464607.5717389034
9,0.03291953795583891,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,341146.3204814433
10,0.1206080817341484,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,383719.7725685341
11,0.1296598694060488,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,375422.61504831526
12,0.061579554063434655,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,388648.56248075207
13,0.09619160272737816,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,375719.25289489934
14,0.0672549713184036,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,350147.66496308986
15,0.13435301865973992,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,386356.08668148785
16,0.0940267546083048,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,349435.93189126987
17,0.11030375280052863,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,387438.6422279556
18,0.04904928909023953,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,395953.63628683955
19,0.12526553037414498,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,379686.3168340942
20,0.07308510325439294,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,384713.04470930644
21,0.11307004093046841,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,401761.995704502
22,0.034400011699252706,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,369213.4522789249
23,0.03622788284133588,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,354021.82674141007
24,0.11942036228890368,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,439557.5999554203
25,0.10545090165553231,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,382496.1238606976
26,0.11367946612511375,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,387092.1398731518
27,0.10285487118682782,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,405619.8044336508
28,0.11995749098408162,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,360428.00798718655
29,0.09221744072783596,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,436874.9209407936
30,0.1896164167232687,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,388899.70257737674
31,0.12421643192068793,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,391121.36043231527
32,0.08987948853015042,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,405565.5428499804
33,0.04558907430318565,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,345546.1393119076
34,0.1351879162896151,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,446134.1143937133
35,0.10716629466187569,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,397976.112167841
36,0.10741876833380411,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,364386.9872417784
37,0.1504806706867572,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,424530.40832949075
38,0.1014383318026136,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,376142.83612319396
39,0.10853983516014704,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,429600.008201397
40,0.0141439951310188,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,424344.3642088239
41,0.15533907183001794,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,458778.3169273449
42,0.15743484159914728,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,384731.78213861986
43,0.13078699153399156,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,375524.5508724486
44,0.017420199057309377,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,371750.86725974927
45,0.11090698308876511,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,371275.74924476247
46,0.1774334245912237,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,382565.93594294856
47,0.0028355166903535067,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,403698.0115841965
48,0.01283353590427963,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,339725.2683552874
49,0.11141231553864539,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,363578.722456309
50,0.12971100952949874,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,412076.79558340815
51,0.1470177171640944,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,485696.32096141955
52,0.08334500759009086,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,412945.57776524255
53,0.054242849428125704,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,358398.98578866175
54,0.0878609742070615,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,392104.15496269794
55,0.16113962307361,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,427950.1776078455
56,0.1333823618539109,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,489093.0254393045
57,0.02885098914689531,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,376102.2102738077
58,0.2515918045380812,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,443148.15711759427
59,0.08177989273574485,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,434007.2075667479
60,0.06589747677660351,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,369141.53941268235
61,0.12154387332844163,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,396674.34560627886
62,0.06455575175805978,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,347399.4557731888
63,0.1769665486864982,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,424300.53223361477
64,0.07489581643048893,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,390017.23796109366
65,0.07589077187966022,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,358992.8184787367
66,0.15192100926171676,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,393448.2152727387
67,0.07235630921438731,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,409625.45168050984
68,0.04007403373936489,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,406586.96845361404
69,0.19127859405025868,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,423033.2851831801
70,0.10703360535549858,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,375339.6426792147
71,0.1728684959145093,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,420393.82846433745
72,0.12593717624565282,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,423067.92717981414
73,0.07372020985648153,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,416608.58902845473
74,0.1500347450488903,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,395149.4939794451
75,0.0377130936042281,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,356031.3248965867
76,0.13064311304205997,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,478483.0528924815
77,0.09319543642863141,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,368423.0211214941
78,0.14731260270197244,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,383884.7029973429
79,0.1786406292337033,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,420822.8252281408
80,0.020024319914075245,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,374169.8123107431
81,0.08098524131855238,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,361324.71719362837
82,0.08909267086057013,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,453088.3719310024
83,0.10471189344793645,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,373444.49555213517
84,0.09719830823982252,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,352866.5547072649
85,0.0703911711613082,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,412636.0246566882
86,0.1386223004471196,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,425278.43288495403
87,0.12049878743867001,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,351141.1705328953
88,0.15910031615852147,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,377303.3168750481
89,0.08643120693597907,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,398471.78324502904
90,0.1748586610934058,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,376265.55076043704
91,0.189279623650003,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,399324.4830641813
92,0.08948407945530781,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,447922.65767412324
93,0.11307441579530828,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,393367.6937848474
94,0.12149954015021054,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,421239.9432493213
95,0.08531496330033404,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,383531.9488294254
96,0.1442394192941252,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,374288.25971890625
97,0.0931056192884067,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,437315.57289883285
98,0.06661874551509084,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,409478.7359375586
99,0.14075836561066485,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,382922.2987545474
100,0.10492365306061413,OPTIMAL,FEASIBLE_POINT,FEASIBLE_POINT,412388.8321280324
